States,Codes,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19 (RE),2019-20 (BE)
Andhra Pradesh,AP,9700000000,11300000000,15700000000,18300000000,23500000000,24200000000,28100000000,24300000000,57100000000,49800000000,73100000000,67200000000,76300000000,74500000000,81900000000,83000000000,56400000000,87900000000,1.241E+11,1.401E+11,1.18E+11,1.54E+11,1.751E+11,1.804E+11,3.175E+11,2.186E+11,3.091E+11,3.23726E+11,3.3619E+11,3.52606E+11
Arunachal Pradesh,AR,300000000,-200000000,-100000000,200000000,700000000,400000000,700000000,1200000000,600000000,600000000,2100000000,2800000000,2100000000,2500000000,3900000000,2600000000,-1100000000,-200000000,3300000000,5000000000,-100000000,9900000000,2300000000,16100000000,-5200000000,-1900000000,-8500000000,3134000000,10067000000,5210000000
Assam,AS,5700000000,2500000000,2100000000,-200000000,7100000000,6500000000,700000000,1400000000,3400000000,16100000000,15400000000,14500000000,9300000000,13900000000,20600000000,-3600000000,-7100000000,-7900000000,-14100000000,40400000000,19900000000,16500000000,15200000000,37800000000,54300000000,-30100000000,61300000000,92922000000,97590000000,1.11135E+11
Bihar,BH,15900000000,16200000000,13300000000,13400000000,13400000000,15700000000,8900000000,9800000000,23800000000,61100000000,48800000000,40100000000,49100000000,41100000000,12400000000,37000000000,30200000000,17100000000,25100000000,52700000000,39700000000,59100000000,65500000000,83500000000,1.118E+11,1.206E+11,1.648E+11,1.43048E+11,2.51324E+11,1.61011E+11
Chhattisgarh,CT,,,,,,,,,,,-500000000,10600000000,9700000000,22000000000,12300000000,4300000000,-300000000,1300000000,10300000000,17600000000,-4100000000,8000000000,26600000000,50600000000,80800000000,54400000000,40500000000,68105000000,1.87682E+11,1.08805E+11
Delhi,DL,,,,2300000000,3900000000,5600000000,6900000000,7300000000,9600000000,13800000000,16100000000,17300000000,24000000000,24400000000,14800000000,-2500000000,4100000000,20400000000,28200000000,35500000000,-7300000000,25500000000,22800000000,39400000000,-2200000000,-13300000000,10500000000,-1133000000,5992000000,59019000000
Goa,GA,1000000000,1300000000,900000000,600000000,400000000,1000000000,1000000000,1300000000,2700000000,3400000000,4100000000,4100000000,3800000000,4500000000,5500000000,6000000000,4900000000,5400000000,8100000000,12400000000,5700000000,8800000000,11500000000,13500000000,9500000000,14800000000,9300000000,16102000000,41139000000,44697000000
Gujarat,GJ,18000000000,18800000000,11700000000,5300000000,12900000000,17500000000,23600000000,31800000000,56200000000,67900000000,79900000000,65100000000,60800000000,91600000000,87000000000,62700000000,56500000000,47700000000,1.044E+11,1.515E+11,1.507E+11,1.103E+11,1.649E+11,1.842E+11,1.832E+11,2.302E+11,1.648E+11,2.13664E+11,3.1787E+11,3.12529E+11
Haryana,HR,3900000000,3800000000,4400000000,4800000000,5300000000,9900000000,11000000000,11300000000,22400000000,21300000000,22600000000,27400000000,14700000000,29300000000,12100000000,2900000000,-11800000000,12600000000,65600000000,1.009E+11,72600000000,71500000000,1.036E+11,83100000000,1.259E+11,3.148E+11,2.629E+11,1.91145E+11,2.05327E+11,2.2462E+11
Himachal Pradesh,HP,2800000000,2200000000,3100000000,1500000000,6200000000,5200000000,5700000000,12000000000,16600000000,1900000000,18400000000,15100000000,23400000000,23800000000,18100000000,7200000000,9200000000,5500000000,22800000000,27800000000,18300000000,16300000000,29800000000,40100000000,42000000000,21600000000,58400000000,38699000000,77862000000,73523000000
